Epoch,Loss,Accuracy
1,0.28231804325528764,93.00489929232444
2,0.08740889896517215,99.67338051170387
3,0.05407451203335886,99.83669025585193
4,0.03793454077904639,99.89112683723462
5,0.028229572559180467,99.94556341861731
6,0.022821669823125654,99.83669025585193
7,0.01632625434709632,99.94556341861731
8,0.012545564973159977,100.0
9,0.010236392036566268,100.0
10,0.008556620606585689,100.0
11,0.007302884445728167,100.0
12,0.006258657679933569,100.0
13,0.005404971742435642,100.0
14,0.0047067626824845435,100.0
15,0.004132670099320619,100.0
16,0.0036447628259496843,100.0
17,0.0032263143797931462,100.0
18,0.0028626815517149543,100.0
19,0.002565641218350957,100.0
20,0.002294106942439533,100.0
21,0.002063995792085062,100.0
22,0.0018578661990392468,100.0
23,0.0016811490008283568,100.0
24,0.0015303262377805685,100.0
25,0.0013931916955777484,100.0
