Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.3073675438052132,0.8993197278911564,0.20672948650897496,0.933968253968254
2,0.07387802176050791,0.9730612244897959,0.027043837745570475,0.986031746031746
3,0.007504835952909625,0.9983673469387755,0.0034892092781170967,0.9993650793650793
4,0.014170408573470452,0.9956462585034014,0.008071732173954684,0.9974603174603175
5,0.002720865668082724,0.9994557823129252,0.0016343681528676478,0.9987301587301587
6,0.0007308580371357982,1.0,0.0007820852094751206,1.0
7,0.0005671417133583289,1.0,0.0006521488536917974,1.0
8,0.031202039973569566,0.9891156462585035,0.05183207431955943,0.9765079365079365
9,0.004836222205507461,0.998639455782313,0.0007219502066875557,1.0
10,0.0005877797355990996,1.0,0.0007067018001162934,1.0
11,0.0003671059939142342,1.0,0.0007486905720794485,1.0
12,0.00035037485200778716,1.0,0.0003278455710397028,1.0
13,0.00027033360667057894,1.0,0.0006995906747622592,1.0
14,0.00020698875124680296,1.0,0.00037266046906884255,1.0
15,0.00019877746790927854,1.0,0.0003603731462776306,1.0
16,0.00017189573151689833,1.0,0.0004495463095049167,1.0
17,0.00014578750665888797,1.0,0.0004469285186819939,1.0
18,0.00012178568852721669,1.0,0.00028394249195347554,1.0
19,0.00011552726844963965,1.0,0.0002897780206995011,1.0
20,0.00010371498282061142,1.0,0.0002567505971981316,1.0
21,9.683175780058072e-05,1.0,0.0004167105794638499,1.0
22,9.412410732186051e-05,1.0,0.0003418003278738257,1.0
23,8.159536549577578e-05,1.0,0.0002618213206005748,1.0
24,7.682520726523014e-05,1.0,0.0003370086043090966,1.0
25,7.05395057004699e-05,1.0,0.0002586391867884058,1.0
26,6.814926884198073e-05,1.0,0.0002436800490134388,1.0
27,5.8121351424413e-05,1.0,0.00018318606486972716,1.0
28,6.679822425880679e-05,1.0,0.0005210362242775903,1.0
29,5.460796645703111e-05,1.0,0.0003570505771494936,1.0
30,5.2338283111857647e-05,1.0,0.00016626389841327356,1.0
31,5.155953321963086e-05,1.0,0.00014759487681744975,1.0
32,4.484875040559643e-05,1.0,0.00015556946293809377,1.0
33,4.4129112916349174e-05,1.0,0.0001568780396741608,1.0
34,4.264791015092898e-05,1.0,0.00018194508554029558,1.0
35,3.9993799223741165e-05,1.0,0.00021020330561210385,1.0
36,3.9186135626779746e-05,1.0,0.0001684232288197751,1.0
37,3.535524854916829e-05,1.0,0.0001256597461444529,1.0
38,3.4040639464637315e-05,1.0,0.00011825498714715072,1.0
39,3.307161538316837e-05,1.0,0.00010669499526903522,1.0
40,3.1819028442695446e-05,1.0,0.0001134619304040883,1.0
41,3.095998925407937e-05,1.0,0.00010377080334740366,1.0
42,2.9438283239696398e-05,1.0,0.00010407028873617361,1.0
43,2.811965446031833e-05,1.0,9.710377845742245e-05,1.0
44,2.8255621570128422e-05,1.0,9.237948661306984e-05,1.0
45,2.671671398770029e-05,1.0,0.00010572579302889709,1.0
46,2.722093718958746e-05,1.0,0.00010557770751239288,1.0
47,2.5082632629925444e-05,1.0,0.0001506583028914599,1.0
48,2.3918972954214995e-05,1.0,0.00012589830577549975,1.0
49,2.431871358195928e-05,1.0,0.00015732830740388534,1.0
50,2.3274379651708415e-05,1.0,0.0001440362296015669,1.0
